date,entity_name,entity_type,cds_5y_bps,bond_spread_bps,bond_yield_10y,equity_return_1d,equity_return_5d,equity_vol_30d,currency_return_1m,market_flag_news
2025-10-09,JPMorgan Chase,Bank,36.97,43.06,4.91,-0.009196,0.020413,19.6905,-0.008895,0
2025-10-10,JPMorgan Chase,Bank,34.93,44.56,4.9004,0.015537,0.025854,20.0284,0.00538,0
2025-10-13,JPMorgan Chase,Bank,34.64,49.67,4.9255,-0.010499,0.011895,20.1786,-0.010709,0
2025-10-14,JPMorgan Chase,Bank,36.6,48.84,4.9551,-0.0054,0.00016,20.1086,0.00777,0
2025-10-15,JPMorgan Chase,Bank,35.68,50.01,4.9636,-0.015395,-0.024988,20.6046,0.001732,0
2025-10-16,JPMorgan Chase,Bank,37.3,49.87,4.9313,0.013622,-0.002533,20.8405,0.000514,0
2025-10-17,JPMorgan Chase,Bank,40.94,51.39,4.8762,-0.011515,-0.029104,19.8193,0.00515,0
2025-10-20,JPMorgan Chase,Bank,42.68,50.77,4.9111,0.018409,-0.00074,19.9527,7.3e-05,0
2025-10-21,JPMorgan Chase,Bank,45.66,51.43,4.8984,0.009862,0.014594,18.7042,-0.007728,0
2025-10-22,JPMorgan Chase,Bank,44.92,50.68,4.8771,-0.022233,0.007548,19.9265,0.003573,0
2025-10-23,JPMorgan Chase,Bank,43.5,52.22,4.8796,-0.013278,-0.019191,20.1792,-0.007153,0
2025-10-24,JPMorgan Chase,Bank,45.62,56.29,4.9534,0.017478,0.009577,20.5223,0.008288,0
2025-10-27,JPMorgan Chase,Bank,39.51,55.75,4.9269,0.01104,0.002271,20.0312,-0.007925,1
2025-10-28,JPMorgan Chase,Bank,39.44,53.32,4.9933,-0.003911,-0.011399,19.304,-0.003178,0
2025-10-29,JPMorgan Chase,Bank,45.02,53.36,4.9429,0.011864,0.023076,19.3487,0.021222,0
2025-10-30,JPMorgan Chase,Bank,48.11,51.13,4.8917,-0.002691,0.034054,19.4033,0.01872,0
2025-10-31,JPMorgan Chase,Bank,38.23,48.43,4.8816,-0.015421,0.00062,19.9854,0.016324,0
2025-11-03,JPMorgan Chase,Bank,34.28,47.65,4.863,0.001037,-0.00928,19.8921,0.02348,0
2025-11-04,JPMorgan Chase,Bank,31.87,48.09,4.8709,-0.007262,-0.012613,20.0712,0.000698,0
2025-11-05,JPMorgan Chase,Bank,31.37,43.79,4.9222,-0.00745,-0.031459,19.7736,0.021113,0
2025-11-06,JPMorgan Chase,Bank,31.6,44.68,4.9334,-0.007545,-0.036174,19.948,-0.002081,0
2025-11-07,JPMorgan Chase,Bank,30.79,43.1,4.9192,0.012294,-0.009043,19.8953,0.014526,0
2025-11-10,JPMorgan Chase,Bank,33.94,44.1,4.886,-0.006758,-0.01676,18.5636,0.007473,0
2025-11-11,JPMorgan Chase,Bank,36.32,40.22,4.8372,-0.008131,-0.01762,18.7525,0.011619,0
2025-11-12,JPMorgan Chase,Bank,36.1,42.31,4.8702,0.010549,0.000194,18.1428,0.013055,0
2025-11-13,JPMorgan Chase,Bank,36.61,41.62,4.9044,-0.003115,0.004659,17.7674,-0.006131,0
2025-11-14,JPMorgan Chase,Bank,37.32,42.63,4.8717,0.026662,0.018919,19.1269,-0.01006,0
2025-11-17,JPMorgan Chase,Bank,34.06,43.94,4.8983,-0.008508,0.017122,19.2842,-8.8e-05,0
2025-11-18,JPMorgan Chase,Bank,37.54,43.34,4.8653,-0.003749,0.021616,19.231,0.004129,0
2025-11-19,JPMorgan Chase,Bank,36.22,42.21,4.8735,0.007344,0.018376,19.1281,0.008725,0
2025-11-20,JPMorgan Chase,Bank,32.31,39.19,4.8447,-0.002389,0.019117,18.9571,0.003109,0
2025-11-21,JPMorgan Chase,Bank,37.37,38.52,4.8446,-0.008297,-0.015584,18.5296,-0.000482,0
2025-11-24,JPMorgan Chase,Bank,38.72,36.84,4.8653,0.019611,0.012334,19.178,-0.001088,0
2025-11-25,JPMorgan Chase,Bank,40.24,36.21,4.8836,0.001178,0.01734,19.1075,0.009835,0
2025-11-26,JPMorgan Chase,Bank,40.77,34.76,4.8846,0.006574,0.016563,18.5965,0.014511,0
2025-11-27,JPMorgan Chase,Bank,43.86,37.32,4.9573,-0.001098,0.017879,18.2385,0.009763,0
2025-11-28,JPMorgan Chase,Bank,41.4,36.15,4.8723,-0.006324,0.019904,18.0053,-0.007591,0
2025-12-01,JPMorgan Chase,Bank,42.03,32.42,4.8868,0.007498,0.007788,17.3691,0.009705,0
2025-12-02,JPMorgan Chase,Bank,38.22,36.36,4.934,-0.005611,0.000954,17.2272,-0.017131,0
2025-12-03,JPMorgan Chase,Bank,42.62,37.0,4.9451,-0.030596,-0.036008,18.2664,-0.009013,0
2025-12-04,JPMorgan Chase,Bank,42.75,37.14,4.9271,0.008147,-0.027086,18.0061,-0.010676,0
2025-12-05,JPMorgan Chase,Bank,42.44,34.45,4.9485,0.01366,-0.007519,17.7331,0.015414,0
2025-12-08,JPMorgan Chase,Bank,43.56,33.13,5.0106,0.001757,-0.013175,17.4554,0.011793,0
2025-12-09,JPMorgan Chase,Bank,43.84,35.42,5.0172,-0.012556,-0.020067,17.7878,-0.002691,1
2025-12-10,JPMorgan Chase,Bank,45.83,38.29,4.9786,0.008943,0.019902,17.6387,0.010584,0
2025-12-11,JPMorgan Chase,Bank,40.51,40.05,4.9732,0.002821,0.014514,17.6487,-0.021709,0
2025-12-12,JPMorgan Chase,Bank,45.62,37.18,4.905,-0.0004,0.000442,17.0719,0.003841,0
2025-12-15,JPMorgan Chase,Bank,45.5,39.47,4.8474,-0.001249,-0.00256,17.0758,-0.000753,0
2025-12-16,JPMorgan Chase,Bank,46.57,37.52,4.8268,-0.013045,-0.003054,17.3651,-0.000627,0
2025-12-17,JPMorgan Chase,Bank,49.36,36.65,4.8078,-0.009974,-0.021747,17.4708,-0.00559,0
2025-12-18,JPMorgan Chase,Bank,48.82,34.65,4.7856,-0.014792,-0.038929,17.8489,0.019647,1
2025-12-19,JPMorgan Chase,Bank,48.73,35.84,4.8338,0.011026,-0.027943,17.7772,-0.006204,0
2025-12-22,JPMorgan Chase,Bank,46.96,34.8,4.8228,-0.028701,-0.054662,19.4605,-0.015152,0
2025-12-23,JPMorgan Chase,Bank,50.96,36.66,4.7833,0.000661,-0.041535,19.3543,0.009686,0
2025-12-24,JPMorgan Chase,Bank,50.28,34.82,4.719,0.002863,-0.029106,19.098,-0.007564,1
2025-12-25,JPMorgan Chase,Bank,45.75,32.85,4.6929,-0.009442,-0.023834,19.2399,-0.003508,0
2025-12-26,JPMorgan Chase,Bank,50.77,34.87,4.6926,0.018946,-0.016188,18.4067,0.000774,0
2025-12-29,JPMorgan Chase,Bank,47.9,34.15,4.7558,-0.004589,0.008235,18.3154,-0.006684,0
2025-12-30,JPMorgan Chase,Bank,50.53,38.16,4.6999,0.007393,0.015018,18.4695,-0.006506,0
2025-12-31,JPMorgan Chase,Bank,48.79,36.5,4.6781,-0.031232,-0.01949,20.1926,0.006846,0
2025-08-28,HSBC,Bank,61.28,53.18,4.5769,0.010769,,22.0,0.005009,0
2025-08-29,HSBC,Bank,58.39,57.36,4.6417,0.01323,,22.0,-0.007617,0
2025-09-01,HSBC,Bank,56.28,53.63,4.5766,0.000966,,22.0,0.002597,0
2025-09-02,HSBC,Bank,53.85,51.42,4.5873,0.03888,,22.0,-0.01611,0
2025-09-03,HSBC,Bank,51.68,50.83,4.6276,-0.007695,,22.0,0.008357,0
2025-09-04,HSBC,Bank,48.8,49.6,4.7249,-0.024233,0.020197,22.0,-0.010326,0
2025-09-05,HSBC,Bank,50.58,48.66,4.7284,-0.001857,0.005006,22.0,0.011678,0
2025-09-08,HSBC,Bank,51.91,47.79,4.7519,-0.004114,-9.5e-05,22.0,-0.003191,0
2025-09-09,HSBC,Bank,53.29,52.3,4.7868,-0.004218,-0.041576,22.0,0.012012,0
2025-09-10,HSBC,Bank,52.5,51.08,4.6976,0.014874,-0.019778,22.0,-0.008435,0
2025-09-11,HSBC,Bank,53.95,50.84,4.7307,-0.030343,-0.025916,22.0,0.002356,0
2025-09-12,HSBC,Bank,56.67,51.38,4.7535,-0.011824,-0.035642,22.0,-0.004004,0
2025-09-15,HSBC,Bank,58.83,56.1,4.7608,0.00374,-0.028037,22.0,-0.004594,0
2025-09-16,HSBC,Bank,56.44,59.06,4.7768,-0.004516,-0.028328,22.0,0.008291,0
2025-09-17,HSBC,Bank,55.91,56.9,4.7591,0.005529,-0.037275,22.0,0.00757,0
2025-09-18,HSBC,Bank,53.45,59.58,4.7994,-0.02232,-0.029309,22.0,0.00281,0
2025-09-19,HSBC,Bank,48.54,62.34,4.8256,-0.00047,-0.018157,22.0,0.0028,0
2025-09-22,HSBC,Bank,45.84,61.57,4.8275,0.024998,0.002638,22.0,0.005903,0
2025-09-23,HSBC,Bank,44.27,62.18,4.9028,0.018946,0.026269,22.0,0.015932,0
2025-09-24,HSBC,Bank,43.63,61.64,4.934,0.035483,0.056841,22.0,0.00524,0
2025-09-25,HSBC,Bank,44.07,60.46,4.8935,-0.022634,0.056501,22.0,0.008232,0
2025-09-26,HSBC,Bank,45.19,62.73,4.8608,-0.020526,0.035302,22.0,-0.002607,0
2025-09-29,HSBC,Bank,45.29,61.79,4.7529,-0.000452,0.009595,22.0,-0.002309,0
2025-09-30,HSBC,Bank,48.21,59.42,4.7736,-0.010775,-0.019852,22.0,-0.001645,0
2025-10-01,HSBC,Bank,56.62,59.32,4.7741,-3.4e-05,-0.053472,22.0,0.001981,0
2025-10-02,HSBC,Bank,56.46,64.24,4.7298,0.019544,-0.012624,22.0,-0.026594,0
2025-10-03,HSBC,Bank,60.47,59.63,4.7161,-0.004848,0.003181,22.0,-0.014075,0
2025-10-06,HSBC,Bank,58.22,58.68,4.7133,0.007026,0.010686,22.0,-0.007727,0
2025-10-07,HSBC,Bank,60.57,56.24,4.6924,0.007082,0.028931,22.0,-0.012221,0
2025-10-08,HSBC,Bank,62.78,57.8,4.6547,0.003552,0.032621,26.0938,0.002528,0
2025-10-09,HSBC,Bank,59.5,58.89,4.6785,-0.00399,0.008785,25.9742,0.003261,0
2025-10-10,HSBC,Bank,55.87,56.22,4.6458,0.018535,0.032488,26.233,-0.017531,0
2025-10-13,HSBC,Bank,52.34,59.66,4.5625,0.023811,0.049697,27.0397,0.00211,0
2025-10-14,HSBC,Bank,52.53,61.37,4.5613,-0.004353,0.037779,24.7375,0.01346,1
2025-10-15,HSBC,Bank,53.93,57.64,4.5074,0.010601,0.045068,24.8006,0.001709,0
2025-10-16,HSBC,Bank,53.78,54.93,4.5114,-0.022284,0.025873,24.6414,0.005519,0
2025-10-17,HSBC,Bank,57.28,55.88,4.5216,0.013919,0.021223,24.9069,0.016655,0
2025-10-20,HSBC,Bank,60.56,55.52,4.5539,0.005616,0.003075,24.8825,-0.023697,1
2025-10-21,HSBC,Bank,62.18,54.04,4.5614,-0.010169,-0.002784,25.0577,-0.006115,0
2025-10-22,HSBC,Bank,57.95,56.77,4.526,0.008254,-0.0051,24.8299,-0.017536,0
2025-10-23,HSBC,Bank,59.63,57.05,4.4917,0.010005,0.027757,23.1226,-0.005756,0
2025-10-24,HSBC,Bank,60.12,53.57,4.5312,-0.004581,0.009005,22.8338,0.002425,0
2025-10-27,HSBC,Bank,60.11,57.18,4.5061,0.025418,0.028874,23.7252,0.007078,0
2025-10-28,HSBC,Bank,58.52,54.9,4.5433,-0.024131,0.014361,24.9137,0.011441,0
2025-10-29,HSBC,Bank,58.47,56.14,4.5504,-0.018206,-0.01226,25.6109,0.003802,0
2025-10-30,HSBC,Bank,60.47,58.66,4.5929,-0.005988,-0.027901,24.7097,0.006329,0
2025-10-31,HSBC,Bank,61.84,58.89,4.6037,-0.017394,-0.040414,25.3512,-0.010811,0
2025-11-03,HSBC,Bank,65.01,60.96,4.6005,-0.006151,-0.069956,24.5264,0.008865,0
2025-11-04,HSBC,Bank,65.15,59.73,4.5831,-0.003985,-0.050756,23.9848,0.002221,0
2025-11-05,HSBC,Bank,63.55,58.97,4.5885,0.006018,-0.027335,21.714,-0.019297,0
2025-11-06,HSBC,Bank,66.57,55.8,4.5992,0.012629,-0.009118,21.0369,0.000823,0
2025-11-07,HSBC,Bank,69.54,58.21,4.5719,-0.006766,0.0016,20.2332,-0.024846,0
2025-11-10,HSBC,Bank,67.82,60.96,4.6351,-0.006946,0.000798,20.3548,-0.004202,0
2025-11-11,HSBC,Bank,66.69,58.65,4.593,-0.026498,-0.021824,21.5578,-0.012074,0
2025-11-12,HSBC,Bank,69.41,58.04,4.5911,0.009652,-0.01829,21.7254,-0.011227,0
2025-11-13,HSBC,Bank,70.18,60.22,4.6559,-0.021458,-0.051336,21.8496,0.00074,0
2025-11-14,HSBC,Bank,67.9,58.85,4.6304,0.016778,-0.028848,22.3802,0.014205,0
2025-11-17,HSBC,Bank,65.9,59.34,4.6153,-0.009473,-0.031319,22.4306,-0.007036,0
2025-11-18,HSBC,Bank,70.34,62.72,4.5908,-0.005073,-0.01,22.3444,0.002859,0
2025-11-19,HSBC,Bank,70.93,60.63,4.595,-0.023933,-0.042931,23.2203,-0.012573,0
2025-11-20,HSBC,Bank,70.38,63.94,4.5743,0.003401,-0.018618,23.2627,-0.000164,0
2025-11-21,HSBC,Bank,73.53,65.9,4.588,0.018647,-0.016814,23.271,-0.011318,0
2025-11-24,HSBC,Bank,74.71,64.64,4.6117,0.015665,0.008138,22.6261,0.008205,0
2025-11-25,HSBC,Bank,75.59,66.17,4.6729,-0.008697,0.004466,22.6974,0.004806,0
2025-11-26,HSBC,Bank,74.41,65.91,4.7212,-0.011022,0.017753,22.5109,0.003687,0
2025-11-27,HSBC,Bank,72.61,64.91,4.7213,0.011633,0.026102,22.1281,-0.014894,0
2025-11-28,HSBC,Bank,68.0,65.91,4.7472,0.03028,0.03782,23.5476,-0.003078,0
2025-12-01,HSBC,Bank,68.36,66.44,4.7491,0.017055,0.03924,24.0466,-0.014415,0
2025-12-02,HSBC,Bank,66.7,66.25,4.792,-0.013926,0.033758,24.1926,0.00133,0
2025-12-03,HSBC,Bank,64.37,64.73,4.7971,0.005388,0.05091,24.1145,-0.005258,1
2025-12-04,HSBC,Bank,68.94,64.11,4.7749,0.02637,0.06622,25.1727,-0.01448,0
2025-12-05,HSBC,Bank,62.0,64.96,4.8144,0.015847,0.051284,25.5652,0.013105,0
2025-12-08,HSBC,Bank,63.95,64.26,4.8883,-0.01453,0.018636,24.7734,-0.015255,0
2025-12-09,HSBC,Bank,61.78,65.59,4.88,-0.009552,0.023155,23.9733,-0.006691,1
2025-12-10,HSBC,Bank,58.03,67.95,4.8767,0.015784,0.033735,23.8416,0.003427,0
2025-12-11,HSBC,Bank,59.6,68.22,4.901,-0.012788,-0.005704,24.0736,0.003232,1
2025-12-12,HSBC,Bank,60.31,68.98,4.8974,0.020258,-0.001387,24.1487,-0.006764,0
2025-12-15,HSBC,Bank,65.8,66.8,4.8969,-0.021755,-0.008708,24.9591,0.005647,0
2025-12-16,HSBC,Bank,64.27,62.43,4.8788,-0.033292,-0.032468,26.7783,-0.015839,0
2025-12-17,HSBC,Bank,66.44,62.8,4.8979,-3.5e-05,-0.047536,26.7193,-0.00571,0
2025-12-18,HSBC,Bank,66.21,60.1,4.9581,0.012459,-0.023178,26.7125,-0.00221,0
2025-12-19,HSBC,Bank,66.08,58.09,4.9596,-0.003431,-0.045858,26.6607,-0.000861,0
2025-12-22,HSBC,Bank,62.87,57.37,5.0315,0.009181,-0.015684,26.7092,-0.005712,0
2025-12-23,HSBC,Bank,64.54,57.8,4.9995,0.025412,0.044088,26.4071,0.003579,0
2025-12-24,HSBC,Bank,67.1,58.93,5.0415,-0.007118,0.036693,26.4399,0.013174,0
2025-12-25,HSBC,Bank,67.44,59.54,5.1288,-0.004821,0.018999,25.6338,0.002045,0
2025-12-26,HSBC,Bank,65.21,58.35,5.116,0.006178,0.028825,25.3017,0.005228,0
2025-12-29,HSBC,Bank,63.33,64.11,5.1121,-0.012633,0.006586,25.4357,0.007533,0
2025-12-30,HSBC,Bank,63.38,63.89,5.1367,-0.013875,-0.031979,25.7542,-0.002574,0
2025-12-31,HSBC,Bank,58.3,65.31,5.1716,-0.025537,-0.049938,25.8905,-0.009016,0
2025-08-28,BNP Paribas,Bank,68.67,62.09,4.5674,-0.006638,,24.0,0.010787,0
2025-08-29,BNP Paribas,Bank,68.52,58.72,4.5444,0.012402,,24.0,0.001793,0
2025-09-01,BNP Paribas,Bank,72.93,61.55,4.5194,0.006284,,24.0,0.00494,0
2025-09-02,BNP Paribas,Bank,73.46,62.12,4.5078,-0.024653,,24.0,-0.000504,0
2025-09-03,BNP Paribas,Bank,75.51,56.31,4.5537,-0.026002,,24.0,-0.003624,0
2025-09-04,BNP Paribas,Bank,71.77,58.11,4.5039,0.017047,-0.01569,24.0,-0.007081,0
2025-09-05,BNP Paribas,Bank,71.44,59.16,4.507,-0.019097,-0.046315,24.0,0.009963,0
2025-09-08,BNP Paribas,Bank,69.79,60.5,4.4513,-0.012375,-0.063999,24.0,0.005207,0
2025-09-09,BNP Paribas,Bank,68.73,64.63,4.4666,0.006802,-0.033813,24.0,0.010303,0
2025-09-10,BNP Paribas,Bank,69.41,63.74,4.4445,0.001032,-0.006997,24.0,-0.006875,0
2025-09-11,BNP Paribas,Bank,71.54,63.4,4.4477,-0.02991,-0.052844,24.0,0.009163,0
2025-09-12,BNP Paribas,Bank,72.4,59.02,4.5652,-0.01287,-0.046831,24.0,0.004034,1
2025-09-15,BNP Paribas,Bank,75.51,56.99,4.5897,-0.015626,-0.049969,24.0,-0.006238,0
2025-09-16,BNP Paribas,Bank,80.87,58.24,4.553,-0.000167,-0.056544,24.0,0.020034,0
2025-09-17,BNP Paribas,Bank,80.83,60.43,4.5972,0.018246,-0.04032,24.0,0.006387,0
2025-09-18,BNP Paribas,Bank,76.76,58.86,4.6091,0.015496,0.004599,24.0,-0.002524,0
2025-09-19,BNP Paribas,Bank,81.17,59.83,4.5993,0.014876,0.032836,24.0,0.011895,0
2025-09-22,BNP Paribas,Bank,76.83,61.28,4.6247,0.019799,0.070006,24.0,-0.002614,0
2025-09-23,BNP Paribas,Bank,75.86,61.25,4.5809,-0.021472,0.047206,24.0,0.015945,0
2025-09-24,BNP Paribas,Bank,72.93,58.08,4.5687,-0.019251,0.008643,24.0,-0.00601,0
2025-09-25,BNP Paribas,Bank,77.61,60.19,4.5412,0.034354,0.027373,24.0,0.009818,0
2025-09-26,BNP Paribas,Bank,76.16,59.28,4.5404,-0.017188,-0.005086,24.0,-0.015328,0
2025-09-29,BNP Paribas,Bank,78.81,64.19,4.5958,0.008826,-0.015792,24.0,0.005948,0
2025-09-30,BNP Paribas,Bank,80.83,63.48,4.6115,-0.002556,0.003234,24.0,0.005531,0
2025-10-01,BNP Paribas,Bank,75.11,63.11,4.5719,-0.016385,0.006165,24.0,0.001799,0
2025-10-02,BNP Paribas,Bank,78.93,65.98,4.6029,-0.008821,-0.035833,24.0,-0.015868,0
2025-10-03,BNP Paribas,Bank,80.04,63.74,4.6071,-0.019869,-0.038463,24.0,-0.006014,0
2025-10-06,BNP Paribas,Bank,80.4,66.35,4.6041,-0.008453,-0.054931,24.0,0.000637,0
2025-10-07,BNP Paribas,Bank,80.14,67.12,4.606,0.000914,-0.051644,24.0,-0.00702,0
2025-10-08,BNP Paribas,Bank,77.55,69.06,4.594,-0.003862,-0.039571,25.4171,0.007514,0
2025-10-09,BNP Paribas,Bank,74.91,70.4,4.5822,0.019164,-0.012453,26.2122,-0.006735,0
2025-10-10,BNP Paribas,Bank,75.41,74.33,4.5327,0.008228,0.015855,26.0355,-0.007349,0
2025-10-13,BNP Paribas,Bank,74.48,73.35,4.5344,-0.001922,0.022546,25.8966,0.009639,0
2025-10-14,BNP Paribas,Bank,80.79,75.6,4.467,0.005053,0.026775,25.2027,-2.1e-05,0
2025-10-15,BNP Paribas,Bank,77.74,78.1,4.5341,-0.008069,0.022439,24.2812,0.00569,0
2025-10-16,BNP Paribas,Bank,82.13,74.99,4.5057,-0.008568,-0.005383,23.7192,-0.001975,0
2025-10-17,BNP Paribas,Bank,82.13,71.13,4.5189,0.012902,-0.000772,23.5857,-0.019937,0
2025-10-20,BNP Paribas,Bank,82.55,71.96,4.5968,-0.003638,-0.002489,23.3743,0.017268,0
2025-10-21,BNP Paribas,Bank,83.49,71.52,4.6183,-0.013619,-0.021022,23.5185,0.001694,0
2025-10-22,BNP Paribas,Bank,78.48,74.11,4.606,0.020166,0.006845,24.3286,-0.012145,0
2025-10-23,BNP Paribas,Bank,74.68,72.77,4.6546,0.002443,0.018027,22.8146,0.023193,0
2025-10-24,BNP Paribas,Bank,75.52,71.08,4.669,0.007916,0.013016,22.6023,0.005824,0
2025-10-27,BNP Paribas,Bank,72.79,67.86,4.5956,0.00798,0.024828,22.173,-0.011034,0
2025-10-28,BNP Paribas,Bank,66.09,69.14,4.5968,0.004099,0.043238,22.1807,-1.6e-05,0
2025-10-29,BNP Paribas,Bank,66.43,68.49,4.6336,-0.004089,0.018435,21.6766,0.002674,0
2025-10-30,BNP Paribas,Bank,67.47,67.05,4.6241,-0.01766,-0.001988,21.8487,-0.00353,0
2025-10-31,BNP Paribas,Bank,67.59,66.68,4.6676,0.007477,-0.002423,21.5164,-0.00025,0
2025-11-03,BNP Paribas,Bank,70.06,65.04,4.6888,-0.037885,-0.047815,23.1533,0.00064,0
2025-11-04,BNP Paribas,Bank,68.13,64.42,4.691,0.008308,-0.043824,22.6488,-0.000705,0
2025-11-05,BNP Paribas,Bank,69.58,58.42,4.7028,0.004583,-0.035498,22.0882,-0.007933,0
2025-11-06,BNP Paribas,Bank,74.09,60.94,4.6942,0.022838,0.004264,20.7579,0.001487,0
2025-11-07,BNP Paribas,Bank,72.78,59.76,4.6778,-0.005252,-0.008424,20.2512,-0.007068,0
2025-11-10,BNP Paribas,Bank,71.37,60.11,4.6842,0.000346,0.030978,20.0609,0.004369,0
2025-11-11,BNP Paribas,Bank,74.78,61.11,4.7758,-0.015483,0.006651,20.4821,-0.00209,0
2025-11-12,BNP Paribas,Bank,70.34,60.6,4.729,-0.026943,-0.02494,21.3354,0.005415,0
2025-11-13,BNP Paribas,Bank,72.5,60.51,4.722,-0.00562,-0.052068,21.2653,-0.000152,0
2025-11-14,BNP Paribas,Bank,70.64,61.27,4.6628,0.003072,-0.044136,20.606,-0.000153,0
2025-11-17,BNP Paribas,Bank,72.24,57.29,4.7452,-0.017737,-0.061416,21.0585,-0.000401,0
2025-11-18,BNP Paribas,Bank,71.51,60.85,4.6904,-0.024095,-0.069625,22.0346,0.014712,0
2025-11-19,BNP Paribas,Bank,70.71,63.09,4.6455,-0.023877,-0.066693,22.8982,-0.004067,0
2025-11-20,BNP Paribas,Bank,77.04,61.72,4.6752,0.004825,-0.05689,22.1007,0.013017,0
2025-11-21,BNP Paribas,Bank,81.28,59.25,4.6777,0.00164,-0.058236,21.8948,0.017221,0
2025-11-24,BNP Paribas,Bank,79.52,59.66,4.6238,-0.014389,-0.055026,22.1132,0.012004,0
2025-11-25,BNP Paribas,Bank,76.97,58.77,4.6064,0.004572,-0.027268,22.0975,-0.007079,0
2025-11-26,BNP Paribas,Bank,79.51,57.32,4.5495,0.022998,0.019444,23.3312,-0.003227,0
2025-11-27,BNP Paribas,Bank,78.18,58.74,4.5985,-0.00852,0.005905,23.3302,0.000386,0
2025-11-28,BNP Paribas,Bank,75.74,60.66,4.6008,0.004361,0.008637,22.973,0.015285,0
2025-12-01,BNP Paribas,Bank,76.88,58.92,4.6152,0.008718,0.032285,23.2145,-0.002104,0
2025-12-02,BNP Paribas,Bank,73.3,55.04,4.6974,-0.016379,0.010756,23.3372,-0.002213,0
2025-12-03,BNP Paribas,Bank,72.2,52.61,4.7339,0.004898,-0.007127,22.4689,0.002659,0
2025-12-04,BNP Paribas,Bank,71.49,53.54,4.724,0.024601,0.02604,23.7872,0.00491,0
2025-12-05,BNP Paribas,Bank,73.52,51.79,4.7441,0.005233,0.02693,23.7008,0.000303,0
2025-12-08,BNP Paribas,Bank,74.45,50.89,4.723,0.009165,0.027385,23.7475,0.012383,0
2025-12-09,BNP Paribas,Bank,74.19,55.95,4.766,-0.028413,0.014816,24.7691,0.000784,0
